GEOID,district,total,white,black,latino,other,adjtotal,adjwhite,adjblack,adjlatino,adjother,cvap,cvap_margin_of_error
040030013012,19,433,303,22,92,16,435.9833,304.8688,22.32226,92.71358,16.07872,469,138
040030013021,19,924,769,22,94,39,929.9861,773.7428,22.32226,94.72908,39.19188,423,175
040030013022,19,941,572,68,207,94,947.5919,575.5279,68.99607,208.6055,94.46246,978,197
040030013023,19,923,610,47,225,41,929.3975,613.7622,47.68845,226.7451,41.20172,900,263
040030014011,19,2750,1140,471,786,353,2771.763,1147.031,477.8993,792.0964,354.7367,2337,395
040030014012,19,570,294,81,120,75,574.2995,295.8133,82.18648,120.9307,75.36898,368,157
040030014013,19,117,57,7,29,24,117.7971,57.35155,7.102536,29.22493,24.11808,82,51
040030014021,19,1802,944,255,375,228,1815.588,949.8222,258.7353,377.9086,229.1217,802,195
040030015011,19,1133,552,119,348,114,1141.408,555.4045,120.7431,350.6992,114.5608,857,301
040030015012,19,858,370,55,342,91,864.188,372.282,55.80564,344.6526,91.44771,773,310
040030015013,19,1338,819,139,258,122,1347.689,824.0513,141.0361,260.0011,122.6002,1291,343
040030015021,19,1224,630,76,381,137,1232.628,633.8855,77.11326,383.9551,137.674,866,207
040030015022,19,1290,568,131,510,81,1299.776,571.5032,132.9189,513.9557,81.3985,844,196
040030015023,19,1119,523,121,360,115,1127.356,526.2256,122.7724,362.7922,115.5658,911,321
040030016011,19,1134,602,101,313,118,1142.201,605.7128,102.4795,315.4277,118.5806,801,325
040030016012,19,1587,808,220,352,207,1598.954,812.9834,223.2226,354.7302,208.0184,1095,336
040030016013,19,2559,1427,237,630,265,2577.463,1435.801,240.4716,634.8864,266.3038,1636,433
040030016021,19,756,403,29,241,83,761.1879,405.4855,29.42479,242.8692,83.40836,914,292
040030016022,19,2282,1250,219,564,249,2298.517,1257.709,222.2079,568.3745,250.225,1639,248
040030017011,19,284,145,36,66,37,286.1156,145.8943,36.52733,66.51191,37.18204,154,89
040030017012,19,1207,711,133,284,79,1215.925,715.3852,134.9482,286.2028,79.38867,847,244
040030017013,19,1407,773,125,389,120,1417.206,777.7675,126.831,392.0172,120.5904,1056,356
040030017014,19,1457,886,132,305,134,1467.423,891.4645,133.9335,307.3657,134.6593,1246,327
040030017021,19,1227,743,114,274,96,1235.85,747.5824,115.6699,276.1252,96.4723,990,255
040030017022,19,1527,736,156,466,169,1538.27,740.5393,158.2851,469.6144,169.8315,1044,233
040030017023,19,904,488,59,250,107,910.3395,491.0098,59.86423,251.939,107.5264,628,211
040030017031,19,874,673,25,107,69,879.6864,677.1508,25.3662,107.8299,69.33948,647,245
040030017032,19,1801,1135,122,380,164,1813.541,1142,123.7871,382.9474,164.8069,1233,361
040030017033,19,2364,1286,222,634,222,2381.193,1293.931,225.2519,638.9174,223.0922,1731,402
040030018011,19,1951,1105,162,447,237,1964.821,1111.815,164.373,450.467,238.166,1581,282
040030018012,19,1064,649,92,206,117,1071.524,653.0028,93.34762,207.5978,117.5756,630,205
040030018013,19,1130,871,46,139,74,1137.488,876.3719,46.67381,140.0781,74.36407,1105,191
040030018014,19,1504,1198,49,117,140,1513.703,1205.389,49.71775,117.9075,140.6888,910,256
040030018021,19,1253,776,83,241,153,1261.624,780.786,84.21579,242.8692,153.7527,812,246
040030018022,19,2119,1420,127,407,165,2133.587,1428.758,128.8603,410.1568,165.8118,1701,302
040030019001,19,2035,1251,187,358,239,2049.407,1258.716,189.7392,360.7767,240.1758,1653,336
040030019002,19,1777,1423,43,184,127,1788.458,1431.776,43.62986,185.4271,127.6248,1292,240
040030019003,19,1478,1099,45,191,143,1487.622,1105.778,45.65916,192.4814,143.7035,779,246
040030019004,19,1824,1123,149,351,201,1836.82,1129.926,151.1826,353.7224,201.9889,1385,315
040030020011,19,1292,774,59,371,88,1300.948,778.7737,59.86423,373.8775,88.43295,813,285
040030020012,19,1343,847,130,261,105,1352.669,852.2238,131.9042,263.0244,105.5166,1035,413
040030020013,19,1859,1381,38,357,83,1871.251,1389.517,38.55662,359.769,83.40834,1590,398
040030020014,19,959,593,16,289,61,965.4333,596.6574,16.23437,291.2415,61.30011,722,302
040030020021,19,1169,818,28,243,80,1176.734,823.0451,28.41014,244.8848,80.39359,1084,281
040030020022,19,1274,939,23,249,63,1282.369,944.7913,23.3369,250.9313,63.30995,1023,240
040030020023,19,1852,1310,52,370,120,1864.301,1318.08,52.7617,372.8698,120.5904,1359,257
